paragraph_id,break_offset,in_speech_end_map,in_topology,text_sha256,context
PASSION24.HOUR.08.P014,34,True,True,74bd1faae3bdbdaa45b8c65b75a113bc02ba81821b8903f28350c8c931555ee5,"Alors Tu leur dis : « Me voici ! » Par ces simples paroles, Tu dis tout. Tu Te fais connaître pour "
PASSION24.HOUR.08.P015,50,True,True,0e8e25ba179b80db3015404fdc30bbeda72ac9d5710f67750d4468b27e4e1506,"i, ô Amour, c’est par un autre « Me voici ! » que Tu les rappelles à la Vie et que, de ta propre initiative, T"
PASSION24.HOUR.09.P010,147,True,True,0eff0c7e558d2dd5c679da7ac7e3b9e3db060a824c6ca1705cb32c65c1e83ebe,"r la promesse de ne jamais Me laisser seul. » Oui, mon Jésus, avec l’aide de ta Grâce et en m’identifiant à ta"
PASSION24.HOUR.10.P002,206,True,True,8693e4f039b62d7bbfeffcc5c2dc4e37512184a6e4db7fbffa482a8843993b35,", et tous ceux qui sont ici M’ont entendu ! » À ces Paroles, tous tremblent. Perfidement, un serviteur s’appro"
PASSION24.HOUR.11.P010,141,True,True,03748084ad481a333bb73fba4edf9d706a36d29b6a6898be656c4e342f9ea5ce,"sses M’accorder. Sois fidèle et attentive ! » Mon doux Amour, le vacarme de tes ennemis est si considérable qu"
PASSION24.HOUR.11.P021,251,True,True,a6762f6245c19d99c3d520afa0563f45b2c0f5645b86da76b5a8bcbc4e118a74,"poser aux occasions en Me suivant de loin ! » Mon Bien renié, comme elles se reconnaissent vite les offenses d"
PASSION24.HOUR.11.P030,126,True,True,428cebcfe9048cf1bf025e341d938e882e5f9e8198fd33bc23a8185508c3ed8c,"ées du Ciel pour juger toutes les nations. » À ces Paroles solennelles, tous font silence et frissonnent d’épo"
PASSION24.HOUR.13.P005,147,True,True,a0e6d29206019aae50560efe0eeb3cb912c467a6f54555e7dad2fce6fe204bef,"afin que Je puisse continuer ma Vie en toi. » Mon Jésus, à ma stupeur, je vois qu’au lieu de Te préoccuper de "
PASSION24.HOUR.15.P005,162,True,True,1fe7971777119b2d85e26afa8216a2231531c0b31ca409479224af3c289a4642, Je ne sois pas remis au pouvoir des Juifs. » Pilate est surpris et touché par la suavité et la dignité de tes
PASSION24.HOUR.16.P015,103,True,True,931b222d6046ed3b0f46fad9efda0d19fe435f9fc18b9a7584c4290cee10cf1f,s Barabbas pour réparer toutes ces fautes ! » Comme elles sont réelles et incessantes nos décisions de faire p
PASSION24.HOUR.16.P028,76,True,True,587bfb1c0a6d2bf5885a6df287a9d1e209c2114dda005960440fe42202eb61ea,"à ce que Je fais, prie et répare avec Moi ! » Jésus torturé, ton Amour passe d’un excès à l’autre. Je vois que"
PASSION24.HOUR.16.P045,193,True,True,1f73884e661135a36c0a718ff48463c47ce393b61b6992adfce0922654cfdc5b,"n qu’ils soient forcés de céder devant Moi. » Jésus, l’Amour avec lequel Tu souffres est si grand, que Tu exci"
PASSION24.HOUR.17.P014,47,True,True,43ee151361e8da9e3f111010c2d6a7593c9f8fd186d831a4d9d4d40c455c2d58,"i, unis-toi à Moi, prie et répare avec Moi. » Poursuivant dans leurs cruautés, tes ennemis Te font asseoir, dé"
PASSION24.HOUR.17.P027,155,True,True,0f4c182dace3c23c18bdd30ab9501bcb7b386d08d52a7da1783da27379314d7e,"contiennent, et constitue-Moi Roi de tous. » Mon Amour, je Te prie de me piquer les oreilles de tes épines, af"
PASSION24.HOUR.17.P044,293,True,True,869646265b0de1edb6f2d546b46cb2d40350174de196dbf8071d9a1d625e2fc8,"ations et continue à contempler mes Peines. » Mon Amour, je vois que, Te voyant si mal en point, Pilate frisso"
PASSION24.HOUR.18.P002,61,True,True,fa98377ab931e85708e829ea8ef54486dcbd089e3b78c1e5b3d50e2a5473b03b,"gémissements, je T’entends dire : « Croix ! » Chaque goutte de ton Sang proclame : « Croix ! »"
PASSION24.HOUR.18.P031,156,True,True,cab11dcd32a14a026be338b346679636e6f34ba5753e7927f0938690916b343f,"-les-Moi, sauve-les-Moi. Je te les confie ! » Anxieux, Tu Te la fais placer sur tes Épaules infiniment saintes"
PASSION24.HOUR.18.P113,148,True,True,cb4b37cbd6dedf7076f2bf3d846746085161caa027dc233a6577133b8fdae357,"Volonté de mon Père Éternel le veut ainsi ! » Mon Bien dénudé, tandis qu’avec Toi je répare, je Te prie qu’au "
PASSION24.HOUR.19.P018,95,True,True,52eb8baa16a1bc6b09855b603038e76a0c8f5e64939e8e0427cb0944cc5ee541,"ires, Triomphes et Couronnes à mes enfants. » Mais, qui peut dire tout ce que mon doux Jésus a dit sur la Croi"
PASSION24.HOUR.19.P126,145,True,True,59fd3c15dea84b0c07649f2b9217e8f0245990670767e842891fc56234f59930," desséchée par la Soif, brûlée par l’Amour. » Mon Jésus plein d’amertume, ma voix, fondue dans la Tienne, veut"
PASSION24.HOUR.19.P137,119,True,True,35229feb7a00d6db2836a7aef77e8607ce78b3777ead92853d7ce41136ead797,"erses sur elles tes Grâces de Miséricorde ! » Mon Jésus, ton Amour est un doux enchantement pour moi et me pou"
PASSION24.HOUR.19.P165,150,True,True,6ba1e33250ef2d57dcbccfeefa285ce1fa276c49413273b400b492b198c7f4cc," que toutes les autres créatures ensemble ! » Mais Toi, ô mon Jésus, triomphant de tout, Tu défends même ces â"
PASSION24.HOUR.20.P010,63,True,True,a9e4c2c95dc592a31ac7a4eccd86324863e7d3c479e2dbf2051795623d03f657,"eur, car ils ne savent pas ce qu’ils font ! » Et, de nouveau, Tu Te renfermes dans le silence, Tu es plongé da"
PASSION24.HOUR.21.P020,69,True,True,052a0cbd283fcc77c9daf86d45bfda1b4ff7f1adf4cfe22f0c3a498ae828e832," dit à sa Maman : « Femme, voici ton fils ! » et à Jean : « Voici ta Mère ! »"
PASSION24.HOUR.21.P023,137,True,True,cfd323fd3ba0dee71cfaeced5d39d7b952e8eab8bb9a70e77dfa1eb80f1c27a5,"toi-même, aie au moins pitié de mon Amour ! » Leur ayant tout donné, Tu n’as plus rien à donner aux créatures."
PASSION24.HOUR.21.P025,118,True,True,4f17e7481c78ea22cd59796b4e66c063b6db0e0e8cf9ef5ec12759c6d2de3d70,"ie de tendresse : « Femme, voici ton Fils ! » et Tu dis à Jean : « Voici ta Mère ! »"
PASSION24.HOUR.21.P027,216,True,True,76138a89389e9f6dbed5406a7b8f8adc2f3c6f44db3a3758f81310d50242557e,"mes enfants. Toi, tu Me les sauveras tous ! » Et ta sainte Maman accepte. Je veux ici, ô mon Jésus, réparer le"
PASSION24.HOUR.21.P068,86,True,True,d4dea4d9c20e2b2cec80528c3929973574abe435d4315b233d3cb2db7c3af613,"laies, pour ma Mort ! Ne M’abandonnez pas ! » Mon Amour, combien je suis désolée ! Tu T’essouffles !"
PASSION24.HOUR.22.P006,160,True,True,4d8a62b88b431940e9534e919efcf8d829fcfa97c22c5ed59003a8e5fc64a727,"s très affaiblies, Tu cries : « J’ai soif ! » Ah ! cette Parole, Tu la dis de tout ton divin Cœur :"
PASSION24.HOUR.22.P022,23,True,True,4c0b8a36dcc295d5e9d25509a74b5f28a74540d4701d710fe7a2b7ddedf54ada,"« Tout est consommé ! » Ô mon Jésus, Tu as déjà tout épuisé. Il ne Te reste rien d’autre"
PASSION24.HOUR.22.REF.P001,237,True,True,aef902b37929a0c9da331e540ea8864c8446a769e0dee04ac844c692cf992b1a,"f qui Le brûle, dit : « Tout est consommé ! » Jésus S’est sacrifié tout entier pour nous. Et nous, en toute ch"
PASSION24.HOUR.24.DESOL.P014,119,True,True,b48fa53340ab3e134d64de89c61075aa79ceab49ad4d41f48267ebe4f1b4ee91,"complir le sacrifice de me séparer de Toi ! » Maman affligée, tu penches ta tête sur celle de Jésus, tu Lui do"
PASSION24.HOUR.24.DESOL.P027,79,True,True,4a1e4cbe49f3b893fd71fd11420a5f8fb767b35f3235ccabae6146cb67b77084,"onne-moi tes Peines, autrement je mourrai ! » Ta douleur est telle, ô Maman, qu’elle te paralyse, te coupe la "
PASSION24.HOUR.24.DESOL.P037,62,True,True,d2e153515dc6a4b42ffab8aee6cffba2d114db860020c964260620e20f68f5c3,"e pourra vivre par le moyen de tes Peines ! » Maman torturée, je vois que tu te hâtes, car ceux qui sont autou"
PASSION24.SECTION.BENEFITS.P102,195,True,True,e8cf7c9532d011ddcdb3e325a8c00c4e62277f85292bcc363554f92f0f6d16a2,urs lèvres pour répéter ce qu'elles disent !» Il ajouta : «Au milieu de tant d'amertume que Me donnent les cré
PASSION24.SECTION.BENEFITS.P116,217,True,True,b3ed347dba153e5287b4f32298a8692059f6ee73c490cfff16865f542ff705eb,"gnée en ces temps, serait en partie apaisée.» Un jour, alors que j'en étais à l'Heure où la céleste Maman part"
PASSION24.SECTION.BENEFITS.P122,78,True,True,618de3968214a522b2eb4060fe2bf1c5d72f9e062284c294c867f52b4cbe8921,"avec une grande douceur : «Ma maman, maman !» Et Il me murmura tout ce que sa douce Maman fit et souffrit dura"
PASSION24.SECTION.BENEFITS.P136,157,True,True,cb98d783303cb8bebf4ca989ab4b87890bf82f6d59867fddf1d94012c24029fc," mais plutôt du bien, Je M'appuie sur elles.» Jésus béni ajouta : «"
PASSION24.SECTION.BENEFITS.P149,140,True,True,7a34ae5d5b22108be211dfb67e771e3f786d2bb77945ad491ba9b6fe91356c2a,ar torrents. Ah ! Ma fille ! Ah ! Ma fille !» Puis Il
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P057,78,True,True,11fadb1c9becbd9fd8f76160ceeffaa2929af280bbbf6f0b916618ff8166a354,"e façon admirable ce dicton Me concernant : ""Il est à la fois ancien et nouveau."""
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P100,40,True,True,855d46aaedc6eb18b2697774946e7879c4a2991e7e1568a6895a17b329d2c88a,"Et Je Lui demandais alors sans cesse : ""Maman, veux-Tu faire ceci ? Veux-Tu souffrir cette peine ?"""
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,195,True,True,e8cf7c9532d011ddcdb3e325a8c00c4e62277f85292bcc363554f92f0f6d16a2,urs lèvres pour répéter ce qu'elles disent !» Il ajouta : «Au milieu de tant d'amertume que Me donnent les cré
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111,217,True,True,b3ed347dba153e5287b4f32298a8692059f6ee73c490cfff16865f542ff705eb,"gnée en ces temps, serait en partie apaisée.» Un jour, alors que j'en étais à l'Heure où la céleste Maman part"
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,78,True,True,618de3968214a522b2eb4060fe2bf1c5d72f9e062284c294c867f52b4cbe8921,"avec une grande douceur : «Ma maman, maman !» Et Il me murmura tout ce que sa douce Maman fit et souffrit dura"
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,157,True,True,cb98d783303cb8bebf4ca989ab4b87890bf82f6d59867fddf1d94012c24029fc," mais plutôt du bien, Je M'appuie sur elles.» Jésus béni ajouta : «"
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P144,140,True,True,7a34ae5d5b22108be211dfb67e771e3f786d2bb77945ad491ba9b6fe91356c2a,ar torrents. Ah ! Ma fille ! Ah ! Ma fille !» Puis Il
PASSION24.TEXT.RELATED_HOUR_01.BODY.P047,317,True,True,07637a43ae3504ce9f3b84b5787946729fd33f34d85ca691a31534576e681c6e,"es bénédictions à Mon Cœur tendre et blessé.""»"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P011,69,True,True,df3bce6bc5fa308672f83c9482ee095481e57ba5a4d46bc4947c426127183721,"ses, J'entendrai l'écho de la Divine Volonté. «"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P033,111,True,True,27b35e712ada929b78118297d7fc554dba14fda1b6318572e41c700e353ae58a,"e afin d'imprimer en elle ces morts d'Amour.» En disant cela, de sa sainte main, Jésus imprima ces morts d'amo"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P036,121,True,True,1f62146d2298f27729892e391de327598b75e862d1955694f2894e2462c263b4,"on pas Ma Volonté mais la Tienne soit faite.» Bougeant en moi, mon doux Jésus me dit : «"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,49,True,True,a167c4cea985eb13e6aa55d60d9c022b26b8a3613f1d7b053339544aa694186e,"non pas Ma Volonté mais la Tienne soit faite"" ?"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P058,49,True,True,f4df240dd916ae9db6393948d8bf4c6b4d3d55599473d51688697d462725c435,"non pas Ma volonté mais la tienne soit faite"" ?"
PASSION24.TEXT.RELATED_HOUR_07.BODY.P036,43,True,True,a75c135d1ac345599a8d6b115c1e8e80b0e9b23550e12183941fd2d116ddd210,"Je suis tout à eux et ils sont tout à Moi.» Pensant à ce que Jésus m'avait dit, je me disais : «"
PASSION24.TEXT.RELATED_HOUR_10.BODY.P009,268,True,True,c6748a7f3849a3d7058319b333cc0c038a0e257c46a192a2224a5e052e7f96e6,"ner en risée, ce qui Me déplairait beaucoup.» Ensuite, Jésus me dit : «Tout ce que Je te demande, c'est de res"
PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,162,True,True,850228d7801c4357cbd34d667ad142e7fd34f9379bdec35cb28caba81e16fc35,"ur ? Cherche-Moi dans ton cœur et aime-Moi !""»"
PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,422,True,True,f53aa0754a18226ee45179be9733f5597d5b08b314bccfdfb4dbf623b4f1d713,"serviront à lier tous les cœurs à Mon Amour.» Plus tard, je me suis dit : «"
PASSION24.TEXT.RELATED_HOUR_14.BODY.P019,66,True,True,9e29d7a86ff3b99930b7292a89a119d4dcaf05db4d11fdf8449ad57ceb5a6316,"eront pour invectiver davantage la religion.» Plus tard, alors que je me replongeais dans la méditation, j'en "
PASSION24.TEXT.RELATED_HOUR_15.BODY.P109,426,True,True,14a5272c9efcfc0868a3374b0d78a77656e2d4e972cb750fed3df50efbf35865,"mpêchent d'être reconnu pour ce que Je suis.» Plus tard, se montrant de nouveau à moi alors que j'étais complè"
PASSION24.TEXT.RELATED_HOUR_16.BODY.P047,140,True,True,ddb5c717e12022cc404c402303ca04a0713eb84d33134bfd6dfccd74047ce612,"ement le poids de l'ingratitude des hommes !» Se jetant alors dans mes bras, Jésus fondit en larmes."
PASSION24.TEXT.RELATED_HOUR_16.BODY.P096,250,True,True,3a7f439a0c61b604fde0482b742edab436bb676e4e68e92e8b81b2872f594f26,rotéger devant les droits de notre Justice. » Qui pourrait décrire la manière de prier de Jésus et rappeler to
PASSION24.TEXT.RELATED_HOUR_17.BODY.P032,102,True,True,bb75e4e26bde7765cd903c29f131c1d35fffc9c9668505fe1ed73c854bca7890, du péché que ces épines suscitaient en Moi.» Je regardais mon aimable Jésus et Je pouvais voir sa tête très s
PASSION24.TEXT.RELATED_HOUR_17.BODY.P050,51,True,True,b1556570f59acc497580c0ec527319b62fb9bc334f142cf20f7fe3ee92cab6e4,"dit : «Allons, tu verras ce qu'elles feront.» Nous sommes partis et quand nous sommes arrivés à un endroit où "
PASSION24.TEXT.RELATED_HOUR_17.BODY.P051,90,True,True,b685d871c1b8ebb60562d3f7e53aa46978f4a68429007c2a0482cf93359c5082,en présentant Jésus au peuple : «Ecce Homo !» «Voici l'Homme !»
PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,203,True,True,42d912e4cd5e106c63110b57aadab222f9359afdcab144b8de04701748d19e81,"rs, le Seigneur répéta à tous : «Ecce Homo !» Sur ces mots, un murmure se fit entendre."
PASSION24.TEXT.RELATED_HOUR_17.BODY.P057,95,True,True,ca2df7f69551cbbe7ab9ab2a0de7bdd3049e1a959ef38c28e2613a55e2198034,"es religieux et voyons s'ils veulent de Moi.» Alors, nous nous sommes trouvés au milieu de prêtres, d'évêques,"
PASSION24.TEXT.RELATED_HOUR_17.BODY.P058,50,True,True,cd60b2ae15588ce08032d6162959ed7a01568206d3154ef5c2fa960aff0d972e,"une voix sonore, Jésus répéta : «Ecce Homo !» Certains dirent : «Nous Le voulons, mais nous voulons aussi notr"
PASSION24.TEXT.RELATED_HOUR_18.BODY.P072,274,True,True,c780030c61d806fb214e5a67a98969e19c9cd7c892b46c024ab0bcbdb09f21a0,"ais chemins des Vertus. Je M'en réjouissais.» Je lui dis : «Mais, Jésus très saint, après le grand sacrifice q"
PASSION24.TEXT.RELATED_HOUR_19.BODY.P067,151,True,True,4577dc869f43e580bf03ae45452b3ffbb54d92e9791b5891f7a7bec34161574f,"sus, ta Vie, qui veut ce soulagement de toi.» Seul Jésus sait ce que j'ai alors souffert."
PASSION24.TEXT.RELATED_HOUR_19.BODY.P074,317,True,True,4b42e11860cc612072e8b64ca52279ec1e2a12676daaeced1141e195ae565c42,"; Je serai avec toi pour te donner la force.» En disant cela, Il continua de souffler."
PASSION24.TEXT.RELATED_HOUR_20.BODY.P015,105,True,True,4975b104698e473048735269834389242d97d5f24a3d35b6880238972eda3e3a," en Moi afin que tu puisses tout reproduire.» Plus tard, en recevant l'absolution de mon confesseur, je me dis"
PASSION24.TEXT.RELATED_HOUR_20.BODY.P023,108,True,True,aad0576b9088c062d9a47e893f8f3b1d1514d71113f6460583bf50207371f6f4,"est-à-dire qu'il répète tout ce que Je fais.» Puis, Il disparut. Quelques heures plus tard, Il revint et ajout"
PASSION24.TEXT.RELATED_HOUR_20.BODY.P024,313,True,True,f06b85ef7b574bc100e894d80bb6ea09b0fc5741720b0a897f362a6e5fe8cf2f,"ette créature, à travers cette même Volonté.» Cela dit, Il approcha sa Bouche de la mienne et, presque en trem"
PASSION24.TEXT.RELATED_HOUR_20.BODY.P028,413,True,True,0b59ba62e1fc1dfa47778bc6c91b1435e901f8a5378f09b843ef655ed05a584b,"vent la gloire et l'honneur d'un Acte divin.» Ensuite, Il disparut. Quant à moi, je me fusionnai dans la Volon"
PASSION24.TEXT.RELATED_HOUR_21.BODY.P059,94,True,True,c71e49e81a8b1a1f7087ded1126ff281b1316e043f1cb53041df89b37275bc92,ssé de M'aimer et de vivre dans Ma Volonté ?» Je repris : «Non ! Et que cela ne soit jamais !»
PASSION24.TEXT.RELATED_HOUR_21.BODY.P090,282,True,True,fae3803d3cbc836e62fa888d1d869731533612286d450ea372974c9b7d2eba08,"re tout ce que J'ai mérité par Mon abandon !» Cela dit, Il disparut."
PASSION24.TEXT.RELATED_HOUR_22.BODY.P066,67,True,True,5285761b107072dc1ecfc0e41a0deeb465eece6b97905d87d88be332cb90e4bd,"rche, Je crie à ses pas, la bouche brûlante : «"
PASSION24.TEXT.RELATED_HOUR_22.BODY.P076,153,True,True,ddcd98c1466f027347ba2b693a18e39a1c7b6bfb09cb50afea707af63fa217aa, dans l’acte de dire à Ma douloureuse Maman : «
PASSION24.TEXT.RELATED_HOUR_24.BODY.P010,369,True,True,f8270e105f0c54897e01300c021b41b1ccd2f8f437049039435001ec38c6ab6b,"ens que Je veux, même à travers un seul Mot.» Une autre fois, Je me plaignais à Jésus en constatant qu'après t"
PASSION24.TEXT.RELATED_HOUR_24.BODY.P017,217,True,True,b3ed347dba153e5287b4f32298a8692059f6ee73c490cfff16865f542ff705eb,"gnée en ces temps, serait en partie apaisée.» Un jour, alors que j'en étais à l'Heure où la céleste Maman part"
PASSION24.TEXT.RELATED_HOUR_24.BODY.P022,218,True,True,eeb0a08a26255af4a997b65f5037e53c05636623c99e429ca3596565c2e2471b,"avec une grande douceur : «Ma maman, maman !» Et Il me murmura tout ce que sa douce Maman fit et souffrit dura"
