alias_key,members,member_count
841ee3707c4666e0,PASSION24.HOUR.08.P008#R00,1
84346c9896e8f9e5,PASSION24.HOUR.10.P002#R00,1
8485c6431927bd5a,PASSION24.TEXT.RELATED_HOUR_21.BODY.P059#R00,1
863452864fb4d4ab,PASSION24.TEXT.RELATED_HOUR_16.BODY.P096#R00,1
88bcd8b0a7b45784,PASSION24.HOUR.02.P014#R00,1
8a7ae55ea795ffcb,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P180#R00,1
8c01070e791769b5,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P100#R00,1
8d29b3537c37a0a8,PASSION24.TEXT.RELATED_HOUR_19.BODY.P067#R00,1
9077a8c6ef098c8c,PASSION24.TEXT.RELATED_HOUR_19.BODY.P074#R00,1
92cd39bba7446fab,PASSION24.HOUR.04.P034#R00,1
952ca05a8b6285c3,PASSION24.HOUR.08.P014#R00,1
95b4ea735113f996,PASSION24.HOUR.19.P018#R00,1
95e58102b9575508,PASSION24.TEXT.RELATED_HOUR_16.BODY.P047#R00,1
9a9469d0093535c2,PASSION24.HOUR.22.P022#R00,1
9fafb4b7d9f4371f,PASSION24.TEXT.RELATED_HOUR_22.BODY.P065#R00,1
a1638de2b09c9adb,PASSION24.HOUR.02.P015#R00,1
a1a3101e44bebf00,PASSION24.TEXT.RELATED_HOUR_13.BODY.P039#R00,1
a1e660f5a262e4d0,PASSION24.TEXT.RELATED_HOUR_06.BODY.P011#B69,1
a4be02f9e9d34d66,PASSION24.TEXT.RELATED_HOUR_07.BODY.P036#R00,1
a536547ef11eb0fe,PASSION24.HOUR.24.DESOL.P014#R00,1
a886a0a5ee8c4351,PASSION24.HOUR.19.P165#R00,1
a9b604580336ffe3,PASSION24.TEXT.RELATED_HOUR_20.BODY.P028#R00,1
ab3b3fe4d163763e,PASSION24.HOUR.11.P010#R00,1
ab96671683722f9f,PASSION24.HOUR.11.P021#R00,1
abc8c05392d2e76b,PASSION24.HOUR.08.P015#R00,1
acd310e34802ee7a,PASSION24.SECTION.BENEFITS.P116#R00|PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111#R00|PASSION24.TEXT.RELATED_HOUR_24.BODY.P017#R00,3
ada6172837f10058,PASSION24.SECTION.BENEFITS.P102#R00|PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097#R00,2
ae2f5d979e304c92,PASSION24.TEXT.RELATED_HOUR_18.BODY.P072#R00,1
b0d9150168887b94,PASSION24.HOUR.15.P005#R00,1
b0f82f05b9006a1e,PASSION24.HOUR.07.P015#R00,1
b45dbd944c3c8076,PASSION24.TEXT.RELATED_HOUR_20.BODY.P023#R00,1
b8fea56b62033e76,PASSION24.TEXT.RELATED_HOUR_01.BODY.P047#B317,1
ba1653992328bfa5,PASSION24.TEXT.RELATED_HOUR_17.BODY.P054#R00,1
c38781be3f326df5,PASSION24.HOUR.16.P015#R00,1
c86c4cf9a31bc226,PASSION24.HOUR.01.P008#R00,1
c9f76a28d9dbeec0,PASSION24.HOUR.13.P005#R00,1
cf1e6bc6987f1206,PASSION24.HOUR.18.P113#R00,1
cf41f2335bc92a4f,PASSION24.HOUR.16.P045#R00,1
d232b2eca1f1740b,PASSION24.TEXT.RELATED_HOUR_06.BODY.P043#R00,1
d442d293ed0967da,PASSION24.HOUR.05.P028#R00,1
d7c11dface130a12,PASSION24.HOUR.21.P020#R00,1
d9e7fca8725e0061,PASSION24.HOUR.08.P007#R00,1
e49753ed49c7c432,PASSION24.HOUR.07.P007#R00,1
e53ec81f1080f204,PASSION24.HOUR.22.P006#R00,1
e58a9b9d51aaf8ed,PASSION24.TEXT.RELATED_HOUR_10.BODY.P009#R00,1
e9f3816fd3dade3c,PASSION24.TEXT.RELATED_HOUR_24.BODY.P010#R00,1
fa29fc996c5bbf78,PASSION24.TEXT.RELATED_HOUR_22.BODY.P076#B153,1
fa3c4b1f26b459fa,PASSION24.TEXT.RELATED_HOUR_06.BODY.P033#R00,1
fab8c69730faf4cc,PASSION24.TEXT.RELATED_HOUR_17.BODY.P073#R00,1
fffac29f0d9113d9,PASSION24.TEXT.RELATED_HOUR_24.BODY.P022#R00,1
