paragraph_id,break_offset,active_in_projection,active_in_topology,text_sha256
PASSION24.TEXT.RELATED_HOUR_17.BODY.P067,41,False,False,32df1e175acc59d9168f9db974763a6b3f7191dd87ac92edb3bb3f1cf52a95d7
PASSION24.TEXT.RELATED_HOUR_17.BODY.P067,78,False,False,32df1e175acc59d9168f9db974763a6b3f7191dd87ac92edb3bb3f1cf52a95d7
PASSION24.TEXT.RELATED_HOUR_17.BODY.P073,53,False,False,70e33876c8f3932f34f7140d7d53b70ff347a5a0825dd92586c5eca9e5fe9f5d
PASSION24.TEXT.RELATED_HOUR_17.BODY.P073,67,False,False,70e33876c8f3932f34f7140d7d53b70ff347a5a0825dd92586c5eca9e5fe9f5d
PASSION24.TEXT.RELATED_HOUR_18.BODY.P072,274,True,True,c780030c61d806fb214e5a67a98969e19c9cd7c892b46c024ab0bcbdb09f21a0
PASSION24.TEXT.RELATED_HOUR_19.BODY.P067,151,True,True,4577dc869f43e580bf03ae45452b3ffbb54d92e9791b5891f7a7bec34161574f
PASSION24.TEXT.RELATED_HOUR_19.BODY.P074,317,True,True,4b42e11860cc612072e8b64ca52279ec1e2a12676daaeced1141e195ae565c42
PASSION24.TEXT.RELATED_HOUR_20.BODY.P015,105,True,True,4975b104698e473048735269834389242d97d5f24a3d35b6880238972eda3e3a
PASSION24.TEXT.RELATED_HOUR_20.BODY.P023,108,True,True,aad0576b9088c062d9a47e893f8f3b1d1514d71113f6460583bf50207371f6f4
PASSION24.TEXT.RELATED_HOUR_20.BODY.P024,313,True,True,f06b85ef7b574bc100e894d80bb6ea09b0fc5741720b0a897f362a6e5fe8cf2f
PASSION24.TEXT.RELATED_HOUR_20.BODY.P028,413,True,True,0b59ba62e1fc1dfa47778bc6c91b1435e901f8a5378f09b843ef655ed05a584b
PASSION24.TEXT.RELATED_HOUR_21.BODY.P059,94,True,True,c71e49e81a8b1a1f7087ded1126ff281b1316e043f1cb53041df89b37275bc92
PASSION24.TEXT.RELATED_HOUR_21.BODY.P090,282,True,True,fae3803d3cbc836e62fa888d1d869731533612286d450ea372974c9b7d2eba08
PASSION24.TEXT.RELATED_HOUR_21.BODY.P147,164,False,False,0129f87bc65683396ece440cd0118ad94297b5c8e439fee8db8b5fc24721b088
PASSION24.TEXT.RELATED_HOUR_21.BODY.P169,170,False,False,76f6150e6dea997fb1df36050f85f3a8b1d2eea3af09374dd4d41bc9074ea85f
PASSION24.TEXT.RELATED_HOUR_21.BODY.P170,96,False,False,fd1d3076dcb5339d4ecedcdde3a26b839a3f57eed90ec86207926b988d8bd340
PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,146,False,False,39cf656d353eaaf832358d4d90f6e5fea1ea351fd7fe179a15306cd41134494a
PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,165,False,False,39cf656d353eaaf832358d4d90f6e5fea1ea351fd7fe179a15306cd41134494a
PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,209,False,False,39cf656d353eaaf832358d4d90f6e5fea1ea351fd7fe179a15306cd41134494a
PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,321,False,False,39cf656d353eaaf832358d4d90f6e5fea1ea351fd7fe179a15306cd41134494a
PASSION24.TEXT.RELATED_HOUR_22.BODY.P064,169,False,False,cc996376d49db8dffd204034e7944435e220e455c19f6cff4f43f25315bb06d2
PASSION24.TEXT.RELATED_HOUR_22.BODY.P065,70,False,False,579daa54a60c77ff72f03aa2d964b2bb3ea68d792547ce0f550161ee4782705c
PASSION24.TEXT.RELATED_HOUR_22.BODY.P065,84,False,False,579daa54a60c77ff72f03aa2d964b2bb3ea68d792547ce0f550161ee4782705c
PASSION24.TEXT.RELATED_HOUR_22.BODY.P066,67,True,True,5285761b107072dc1ecfc0e41a0deeb465eece6b97905d87d88be332cb90e4bd
PASSION24.TEXT.RELATED_HOUR_22.BODY.P072,8,False,False,9fa9ac17f2598e79c4835cfdfde675c50ca1c4c51af441ab6bcbeca2c43c0ec7
PASSION24.TEXT.RELATED_HOUR_22.BODY.P076,26,False,False,ddcd98c1466f027347ba2b693a18e39a1c7b6bfb09cb50afea707af63fa217aa
PASSION24.TEXT.RELATED_HOUR_22.BODY.P076,153,True,True,ddcd98c1466f027347ba2b693a18e39a1c7b6bfb09cb50afea707af63fa217aa
PASSION24.TEXT.RELATED_HOUR_22.BODY.P090,215,False,True,3693302b180b912bd98a9a6cbf63dcf199d571e124ed2b8bfc3daef6bd9108e0
PASSION24.TEXT.RELATED_HOUR_22.BODY.P094,111,False,False,e9f54c5be784b8f0e856466b6f52019555161913c76619d8523b846049f3497e
PASSION24.TEXT.RELATED_HOUR_22.BODY.P095,62,False,False,cd20f8553f31ffb609bd0e54414098f05d03c1edf1b68e12ccf2b7ea03fc2262
PASSION24.TEXT.RELATED_HOUR_22.BODY.P095,302,False,False,cd20f8553f31ffb609bd0e54414098f05d03c1edf1b68e12ccf2b7ea03fc2262
PASSION24.TEXT.RELATED_HOUR_23.BODY.P043,35,False,False,f5d6b3a843a53c1c4299ad7601d981881ee610069f9ab9a84ad93846082cb54f
PASSION24.TEXT.RELATED_HOUR_24.BODY.P010,369,True,True,f8270e105f0c54897e01300c021b41b1ccd2f8f437049039435001ec38c6ab6b
PASSION24.TEXT.RELATED_HOUR_24.BODY.P017,217,True,True,b3ed347dba153e5287b4f32298a8692059f6ee73c490cfff16865f542ff705eb
PASSION24.TEXT.RELATED_HOUR_24.BODY.P022,218,True,True,eeb0a08a26255af4a997b65f5037e53c05636623c99e429ca3596565c2e2471b
PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P008,18,False,False,5b494b70a4cb832e5811b683911fb74074bd914c5442af1cc0b5c90ead1462ea
PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P008,28,False,False,5b494b70a4cb832e5811b683911fb74074bd914c5442af1cc0b5c90ead1462ea
PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P008,43,False,False,5b494b70a4cb832e5811b683911fb74074bd914c5442af1cc0b5c90ead1462ea
PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P009,92,False,False,f7f5f495664f94bb91d42cc59e75f26d588968abeb5b4106fedb16b8185e52c2
PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P009,102,False,False,f7f5f495664f94bb91d42cc59e75f26d588968abeb5b4106fedb16b8185e52c2
PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P010,2,False,False,9585395ba81384ee9765a04afe181c7efe6528c21373a24d6d6edee24017b508
