operation_id,class,stable_id,exact_span,replacement,pre_text_sha256,post_step_text_sha256,status
OP-LMARY-211-01,LDC_SYNC,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P211,"peines mortelles, est donc",peines mortelles est donc,62f5af363e740b6de19553a21ea48338c3b21f5086a003fe562f9c87c8d507f9,338e143aa63b7bb8d9a7261efa5f844b7bb1e25848ed62b1a6e27aab94fe1934,APPLIED_EXACT_SCOPE
OP-L22-010-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_22.BODY.P010,ne prêtre l'oreille,ne prête l'oreille,977930afd6a1d4bc31a33ea0470c58a828e0251bb9a246b49d448bb684232cf6,7c0819229912554ea1b1576385cc9b5a8c1991845a77643154b75cd63157ceef,APPLIED_EXACT_SCOPE
OP-L17-218-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_17.BODY.P218,nausée S’il prend,nausée. S’il prend,ce77714227c9000af02011784b07842cfcb47896dc4f3c94365909f4c82f2cbc,6a06ecf991f42cc97b6ad0a73ff6df2883045140b7ca4de2c2483d162e9cbc41,APPLIED_EXACT_SCOPE
OP-L15-163-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_15.BODY.P163,"apporte avec elles, est absente",apporte avec elles est absente,38e8e9bb0091d2ff86aa1253d9d08fac813ef077ffc75e72a3c62085c2791955,9405eb00afd7d61315c1c73407f63a9c504e65f3c1fbd0ddb90a6daa4a6b3ba6,APPLIED_EXACT_SCOPE
OP-LDIV-120-01,LDC_SYNC,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P120,"incapables, de multiplier",incapables de multiplier,0bdac2efedec8125b7e79893c47469f014ccd05a8f6cd983c041b0897d625557,5cf720438515d8f1bf8124c3ddde7bb2d92d5ee8624295335fb3332ce91ac8b6,APPLIED_EXACT_SCOPE
OP-H03-003-01,NATIVE_24H,PASSION24.HOUR.03.P003,"bien, est perdue",bien est perdue,1aed80d3654825c14361d0938c3c913bd8579e37b6c23300628e7ac5062396c3,46d7ced8ae15a72a1ce166f4d824048d7db3c24ce3928a58c17f71e6934c9d2f,APPLIED_EXACT_SCOPE
OP-H06-004-01,NATIVE_24H,PASSION24.HOUR.06.P004,et qui soit à cause,"et qui, soit à cause",003fd577f90ebea76f4fef88b21ed334828b50fcd7e8f797938c89711cc1b3d9,038fa890faf834812692dc6d1ca5aa01d12f0c882493f610954ab646cda06258,APPLIED_EXACT_SCOPE
OP-H06-022-01,NATIVE_24H,PASSION24.HOUR.06.P022,délices visuels,délices visuelles,ef9d70fc79a83ac6e190cb22d46f7ab80c425ff2f268a2cab16119a257e2e164,a30ea75366e780f6fa22deedba338f951d645bcdecdcaf9919c5b7b6d93de47a,APPLIED_EXACT_SCOPE
OP-H11-034-01,NATIVE_24H,PASSION24.HOUR.11.P034,"donnent, sont tels",donnent sont tels,484ca9127ce54a9fbcb64c2689af405d70350dc43ccddba0177781d84b6836e3,45b6806f65bc224889a5f21618471aa6af35754e6659163ceabafc4b31a433ac,APPLIED_EXACT_SCOPE
OP-H16-010-01,NATIVE_24H,PASSION24.HOUR.16.P010,rendent assoiffées,rendent assoiffés,a7f96338556899691f6810f56b8b424bbfeb897daa0b17222e05b4498347b873,b3e661a53d7bcba200868ff364ecb464e339f6fa4949bb2d25d220d7946824df,APPLIED_EXACT_SCOPE
OP-H16-036-01,NATIVE_24H,PASSION24.HOUR.16.P036,soit marqués,soit marquée,3e27418dd4e254d5072f44ffdbbfac0d507d8083cdc6ea9faa5a535b961aade2,9db81a10dc69fba7c810c3e6000a975acb3d0311509758d6f78865879af3499b,APPLIED_EXACT_SCOPE
OP-H16-045-01,NATIVE_24H,PASSION24.HOUR.16.P045,"Tu souffres, est si grand",Tu souffres est si grand,7f7e149012655092923b1fcbdbea0ac8e0c6740b422ff10e5793cbb2c77c758b,1f73884e661135a36c0a718ff48463c47ce393b61b6992adfce0922654cfdc5b,APPLIED_EXACT_SCOPE
OP-H18R-001-01,NATIVE_24H,PASSION24.HOUR.18.REF.P001,"sauver les âmes, sont immenses",sauver les âmes sont immenses,7519f1cb6766300607c527c9b3910da61ec6cac5d5d98e58fdc01548caf3725e,c94d816104c4a97a55403d6918f5641c8f15d990845682f82a56db6589099903,APPLIED_EXACT_SCOPE
OP-H19-073-01,NATIVE_24H,PASSION24.HOUR.19.P073,sois brûlé le cœur de toutes les créatures et détruits tous les amours profanes,soient brûlés les cœurs de toutes les créatures et détruits tous les amours profanes,563a559e14ed97d7155cabd16f869c3da0898c9f54bfa71e36cbee10489e4b56,87ea1955291fa3570f03b3c027b29033768e64dd704c033f613144c11d004050,APPLIED_EXACT_SCOPE
OP-H19-124-01,NATIVE_24H,PASSION24.HOUR.19.P124,n’écoutes pas,n’écoute pas,f2268f8e46dd2ec93c968b6c118eae2b1efdd2efba7a4c254a881c27e2fe0a4b,b49675b63c2a2da19231fa7cf615b57c2f96dfa3f19d510283c0c5c857ab5fd3,APPLIED_EXACT_SCOPE
OP-H19-145-01,NATIVE_24H,PASSION24.HOUR.19.P145,plus touchante que jamais qui,"plus touchante que jamais, qui",8d8544b1048b7463b0198d255c25f5aca4df5368c275b26732456e9cd1a3eadd,c896e9c22eae6687fcbf2e01e5f4bbb7b0c15a9564340ce4935b1b20fa595206,APPLIED_EXACT_SCOPE
OP-H19-147-01,NATIVE_24H,PASSION24.HOUR.19.P147,Tu ne T’apaise pas,Tu ne T’apaises pas,b8f6d6abe37be0e58cc752d130b77ee5fcf6d470522040b2b6ffd1574852f302,5937f75cfcc1381c618830f677a6c3b8ef729850dc8f0a7f95d9a6cf8a23fad1,APPLIED_EXACT_SCOPE
OP-H19-147-02,NATIVE_24H,PASSION24.HOUR.19.P147,qu’est-ce qui ne pourrait jamais Te calmer,qu’est-ce qui pourra jamais Te calmer,5937f75cfcc1381c618830f677a6c3b8ef729850dc8f0a7f95d9a6cf8a23fad1,f2698d4546ba8cc3b9c94473b675e5bf61d22c99b454ccd71618391feef16f40,APPLIED_EXACT_SCOPE
OP-H19-199-01,NATIVE_24H,PASSION24.HOUR.19.P199,"Les anges, pleurent",Les anges pleurent,eb6685052a24b0be5965a5ed7bc421a3b78f60c02f9bccff31cce90c669c3e53,fa6f1b70cb6a6a79ab012a1c78f757440ff372b6f8becaae2503b1c61d7240b1,APPLIED_EXACT_SCOPE
OP-H21-046-01,NATIVE_24H,PASSION24.HOUR.21.P046,dans l’amour partage avec moi,dans l’amour : partage avec moi,8471f7af49891cc96ac999318a05ee9aad9228f78b1130b70ec98ab776adf8fa,f05a80da60db7d460559111213034e0aece9b71f67d2703cbd8139839e8efd9e,APPLIED_EXACT_SCOPE
OP-H21-082-01,NATIVE_24H,PASSION24.HOUR.21.P082,"ton cri, est extrêmement",ton cri est extrêmement,dd42af0126b2cd5c43e1ffe4d49f41281edbb863c73c22e7e34117289938cf35,dc7bd5a06edc11a2fae6da36a9b718fd11ac7fd2b67eb40ecb4031212eee391c,APPLIED_EXACT_SCOPE
OP-PR-004-01,NATIVE_24H,PASSION24.PRAYER.HOLY_HOUR_THANKSGIVING.P004,"avec Toi souffrant, de goûter",avec Toi souffrant et de goûter,1b24a489125a79527dfc9f2db47199fd691cd66847329c89b9650c8da7d2bd55,863cc9126b066800690ed38ec1ee93b6ae5fabb4d109d709dd31199d5d7eea44,APPLIED_EXACT_SCOPE
OP-PR-004-02,NATIVE_24H,PASSION24.PRAYER.HOLY_HOUR_THANKSGIVING.P004,"ton divin Cœur, est le plus",ton divin Cœur est le plus,863cc9126b066800690ed38ec1ee93b6ae5fabb4d109d709dd31199d5d7eea44,6985c19cdf4132a2f6313ab446a051e3739ca11b2f9d58d8dfb1f87464111752,APPLIED_EXACT_SCOPE
OP-PR-009-01,NATIVE_24H,PASSION24.PRAYER.HOLY_HOUR_THANKSGIVING.P009,"Croix de Jésus, et de savoir",Croix de Jésus et à savoir,027fe0b3111141c27c1a87d062f5e612fe1c709f751888e476826531fb4d33ba,283dfc628f09714e493d92aff1838a24e7ceb5fcd1bfb223f03613fc80b4feaa,APPLIED_EXACT_SCOPE
