span_id,container,quote_family,quotation_depth,open_target,open_offset,close_target,close_offset,cross_record,semantic_speaker,presentation_parent,opener_hidden,closer_hidden,opener_presentation,first_lexical_target,first_lexical_offset,first_lexical_presentation,last_lexical_target,last_lexical_offset,last_lexical_presentation,closer_presentation,expected_class,actual_class,source_basis,status,defects,snippet
A-Q00001,HOUR_01_BODY,guillemet,1,PASSION24.HOUR.01.P008,85,PASSION24.HOUR.01.P008,109,False,MARY,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.01.P008,87,MARY,PASSION24.HOUR.01.P008,105,MARY,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|MARY|MARY|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Je Te bénis, ô Fils ! »"
A-Q00027,HOUR_05_BODY,guillemet,1,PASSION24.HOUR.05.P009,58,PASSION24.HOUR.05.P012,132,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.05.P009,60,JESUS,PASSION24.HOUR.05.P012,128,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Âme, tu es ici ? Ah ! Je t’attendais. Car la tristesse qui M’opprime le plus, c’est l’abandon total par tous ! … Par conséquent, Je t’ai appelée pour que tu partages mes Peines, et pour M’assurer de ne pas demeurer seul, dans un total abandon ! »"
A-Q00031,HOUR_05_BODY,guillemet,1,PASSION24.HOUR.05.P025,0,PASSION24.HOUR.05.P028,482,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.05.P025,2,JESUS,PASSION24.HOUR.05.P028,478,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Fille, tu veux savoir ce qui Me tourmente plus que les bourreaux mêmes, et pourquoi les tourments de ceux-ci ne seront rien, comparés à ce que Je souffre actuellement ? … Âme, c’est l’Amour qui prédomine en Moi. L’Amour est un clou pour Moi, l’Amour est un fouet pour Moi, l’Amour est une couronne d’épines pour Moi, l’Amour est tout pour Moi, l’Amour est ma Passion éternelle, alors que ce que Je souffre dans mon Hum"
A-Q00033,HOUR_05_REF,guillemet,1,PASSION24.HOUR.05.REF.P005,0,PASSION24.HOUR.05.REF.P005,141,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.05.REF.P005,2,JESUS,PASSION24.HOUR.05.REF.P005,137,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Je suis calciné par l’Amour et il n’y a personne qui veut mon Amour. De grâce, soulagez-Moi. Acceptez mon Amour et donnez-Moi de l’amour ! »"
A-Q00035,HOUR_06_BODY,guillemet,1,PASSION24.HOUR.06.P012,0,PASSION24.HOUR.06.P012,105,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.06.P012,2,JESUS,PASSION24.HOUR.06.P012,102,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Père, si c’est possible, que s’écarte de Moi ce calice. Cependant, non pas ma Volonté, mais la Tienne. »"
A-Q00037,HOUR_06_BODY,guillemet,1,PASSION24.HOUR.06.P014,0,PASSION24.HOUR.06.P014,141,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.06.P014,2,JESUS,PASSION24.HOUR.06.P014,138,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Père, si c’est possible, que s’écarte de Moi ce calice. Ce calice, pour Moi, est très amer. Cependant, non pas ma Volonté, mais la Tienne. »"
A-Q00039,HOUR_07_BODY,guillemet,1,PASSION24.HOUR.07.P007,0,PASSION24.HOUR.07.P007,164,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.07.P007,2,JESUS,PASSION24.HOUR.07.P007,160,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mes fils, ne dormez pas, l’heure est proche. Ne voyez-vous pas à quel état Je suis réduit ? De grâce, aidez-Moi, ne M’abandonnez pas en ces Heures si terribles ! »"
A-Q00040,HOUR_07_BODY,guillemet,1,PASSION24.HOUR.07.P013,0,PASSION24.HOUR.07.P015,146,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.07.P013,2,JESUS,PASSION24.HOUR.07.P015,142,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Père, si c’est possible, que s’écarte de Moi ce calice. Père Saint, aide-Moi, J’ai besoin de réconfort. … Mais regarde-Moi, ô Père. Je suis toujours ton Fils et Je fais un avec Toi. De grâce, aie pitié de Moi. Ô Père, ne Me laisse pas sans réconfort ! »"
A-Q00041,HOUR_07_BODY,guillemet,1,PASSION24.HOUR.07.P016,0,PASSION24.HOUR.07.P019,220,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.07.P016,2,JESUS,PASSION24.HOUR.07.P019,216,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Douce Maman, serre-Moi dans tes Bras comme tu le faisais quand J’étais enfant. … Maman, Marie Madeleine, chers apôtres, vous tous qui M’aimez, aidez-Moi, réconfortez-Moi, ne Me laissez pas seul en ces derniers moments, faites cercle autour de Moi, réconfortez-Moi par votre compagnie et votre amour ! »"
A-Q00042,HOUR_07_BODY,guillemet,1,PASSION24.HOUR.07.P028,0,PASSION24.HOUR.07.P030,21,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.07.P028,2,JESUS,PASSION24.HOUR.07.P030,17,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Âmes, âmes, venez ! Soulagez-Moi, prenez place dans mon Humanité. Je vous veux, Je vous désire ! … Venez, âmes, venez ! »"
A-Q00043,HOUR_07_BODY,guillemet,1,PASSION24.HOUR.07.P117,0,PASSION24.HOUR.07.P117,227,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.07.P117,2,JESUS,PASSION24.HOUR.07.P117,223,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Ô mon enfant, combien d’âmes Me fuient et finissent par tomber dans l’éternelle ruine ! Comment pourra se calmer ma Souffrance si une seule âme se perd ? J’aime chaque âme, au même titre que J’aime toutes les âmes ensemble ! »"
A-Q00046,HOUR_07_BODY,guillemet,1,PASSION24.HOUR.07.P121,0,PASSION24.HOUR.07.P125,127,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.07.P121,2,JESUS,PASSION24.HOUR.07.P125,124,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Ô âme, tu es ici ? Tu as donc été spectatrice des Peines et des nombreuses morts que J’ai subies ? … Tu as bien vu qu’alors que Je mourais, Je recommençais à respirer. C’étaient les morts des créatures que Je ressentais en Moi. »"
A-Q00048,HOUR_08_BODY,guillemet,1,PASSION24.HOUR.08.P007,73,PASSION24.HOUR.08.P007,110,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.08.P007,75,JESUS,PASSION24.HOUR.08.P007,106,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mon ami, pourquoi es-tu venu ici ? »"
A-Q00051,HOUR_08_BODY,guillemet,1,PASSION24.HOUR.08.P008,0,PASSION24.HOUR.08.P008,41,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.08.P008,2,JESUS,PASSION24.HOUR.08.P008,37,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mon enfant, pourquoi es-tu venue ici ? »"
A-Q00053,HOUR_08_BODY,guillemet,1,PASSION24.HOUR.08.P009,12,PASSION24.HOUR.08.P009,41,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.08.P009,14,JESUS,PASSION24.HOUR.08.P009,37,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,« Pourquoi es-tu venue ici ? »
A-Q00054,HOUR_08_BODY,guillemet,1,PASSION24.HOUR.08.P009,110,PASSION24.HOUR.08.P009,139,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.08.P009,112,JESUS,PASSION24.HOUR.08.P009,135,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,« Pourquoi es-tu venue ici ? »
A-Q00055,HOUR_08_BODY,guillemet,1,PASSION24.HOUR.08.P010,20,PASSION24.HOUR.08.P010,48,False,JESUS,OUTSIDE,False,False,OUTSIDE,PASSION24.HOUR.08.P010,22,JESUS,PASSION24.HOUR.08.P010,44,JESUS,OUTSIDE,TOP_LEVEL_DIVINE_QUOTE_CONTENT_ONLY,OUTSIDE|JESUS|JESUS|OUTSIDE,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,« Pourquoi es-tu venu ici ? »
A-Q00057,HOUR_08_BODY,guillemet,1,PASSION24.HOUR.08.P012,296,PASSION24.HOUR.08.P012,318,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.08.P012,298,JESUS,PASSION24.HOUR.08.P012,314,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,« Qui cherchez-vous ? »
A-Q00059,HOUR_08_BODY,guillemet,1,PASSION24.HOUR.08.P014,20,PASSION24.HOUR.08.P014,33,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.08.P014,22,JESUS,PASSION24.HOUR.08.P014,29,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,« Me voici ! »
A-Q00060,HOUR_08_BODY,guillemet,1,PASSION24.HOUR.08.P015,36,PASSION24.HOUR.08.P015,49,False,JESUS,OUTSIDE,False,False,OUTSIDE,PASSION24.HOUR.08.P015,38,JESUS,PASSION24.HOUR.08.P015,45,JESUS,OUTSIDE,TOP_LEVEL_DIVINE_QUOTE_CONTENT_ONLY,OUTSIDE|JESUS|JESUS|OUTSIDE,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,« Me voici ! »
A-Q00062,HOUR_09_BODY,guillemet,1,PASSION24.HOUR.09.P006,37,PASSION24.HOUR.09.P010,146,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.09.P006,39,JESUS,PASSION24.HOUR.09.P010,143,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Ah ! mon enfant, pleurons ensemble le destin de tant d’âmes consacrées qui, en raison de petites épreuves ou d’incidents de la vie, ne s’occupent plus de Moi et Me laissent seul. … Ah ! mon enfant, comme il est dur pour Moi cet abandon ! Je t’en prie, répare ma cruelle Souffrance par la promesse de ne jamais Me laisser seul. »"
A-Q00063,HOUR_10_BODY,guillemet,1,PASSION24.HOUR.10.P002,139,PASSION24.HOUR.10.P002,205,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.10.P002,141,JESUS,PASSION24.HOUR.10.P002,201,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« J’ai parlé en public, et tous ceux qui sont ici M’ont entendu ! »"
A-Q00064,HOUR_11_BODY,guillemet,1,PASSION24.HOUR.11.P006,194,PASSION24.HOUR.11.P010,140,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.11.P006,196,JESUS,PASSION24.HOUR.11.P010,136,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mon enfant, Je n’ai pas encore tout fait ! L’Amour comporte tous les sacrifices. L’Amour est d’un coût incommensurable. Nous n’en sommes encore qu’au début. … Tu acquerras la force en Me voyant souffrir à ce point. Ce sera la plus belle défense que tu puisses M’accorder. Sois fidèle et attentive ! »"
A-Q00065,HOUR_11_BODY,guillemet,1,PASSION24.HOUR.11.P020,0,PASSION24.HOUR.11.P021,250,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.11.P020,2,JESUS,PASSION24.HOUR.11.P021,246,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mon enfant, tu veux le savoir ? J’entends la voix de Pierre qui prétend ne pas Me connaître, qui le jure, et le jure encore. … Ah ! Pierre, tu ne Me connais pas ? Tu ne te souviens pas de tous les Bienfaits dont Je t’ai comblé ? Si les autres Me font mourir de peines, toi, tu Me fais mourir de douleur ! Comme tu as mal fait de t’exposer aux occasions en Me suivant de loin ! »"
A-Q00067,HOUR_11_BODY,guillemet,1,PASSION24.HOUR.11.P030,0,PASSION24.HOUR.11.P030,124,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.11.P030,2,JESUS,PASSION24.HOUR.11.P030,121,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,« C’est toi qui le dis. Je suis le Fils de Dieu. Un jour Je descendrai sur les nuées du Ciel pour juger toutes les nations. »
A-Q00071,HOUR_13_BODY,guillemet,1,PASSION24.HOUR.13.P005,16,PASSION24.HOUR.13.P005,146,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.13.P005,18,JESUS,PASSION24.HOUR.13.P005,143,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Viens, ô âme. Sois attentive à tout ce que tu Me vois faire pour le faire avec Moi, afin que Je puisse continuer ma Vie en toi. »"
A-Q00072,HOUR_13_BODY,guillemet,1,PASSION24.HOUR.13.P007,0,PASSION24.HOUR.13.P009,156,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.13.P007,2,JESUS,PASSION24.HOUR.13.P009,152,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Père saint, Je Te rends grâce pour tout ce que J’ai souffert et pour ce qu’il Me reste encore à souffrir. … Tu vois, ô Père, toutes ces âmes. Je réponds de toutes : leurs pensées, leurs paroles, leurs œuvres et leurs omissions, au coût de mon Sang et de ma Mort ! »"
A-Q00074,HOUR_14_BODY,guillemet,1,PASSION24.HOUR.14.P004,93,PASSION24.HOUR.14.P004,126,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.14.P004,95,JESUS,PASSION24.HOUR.14.P004,122,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Oui, Je suis le Fils de Dieu ! »"
A-Q00079,HOUR_15_BODY,guillemet,1,PASSION24.HOUR.15.P005,0,PASSION24.HOUR.15.P005,161,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.15.P005,2,JESUS,PASSION24.HOUR.15.P005,158,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mon Règne n’est pas de ce monde. Si mon Règne était de ce monde, mes ministres feraient tous leurs efforts pour que Je ne sois pas remis au pouvoir des Juifs. »"
A-Q00081,HOUR_15_BODY,guillemet,1,PASSION24.HOUR.15.P006,17,PASSION24.HOUR.15.P006,87,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.15.P006,19,JESUS,PASSION24.HOUR.15.P006,84,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Je le suis, et Je suis venu dans le monde pour enseigner la Vérité. »"
A-Q00085,HOUR_16_BODY,guillemet,1,PASSION24.HOUR.16.P008,0,PASSION24.HOUR.16.P015,102,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.16.P008,2,JESUS,PASSION24.HOUR.16.P015,98,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Père Saint, regarde ton Fils vêtu comme un fou. Il répare la folie de tant de créatures quand elles tombent dans le péché ! … Et Moi, Je suis prêt à accepter qu’on Me fasse passer après Barabbas pour réparer toutes ces fautes ! »"
A-Q00086,HOUR_16_BODY,guillemet,1,PASSION24.HOUR.16.P026,0,PASSION24.HOUR.16.P028,75,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.16.P026,2,JESUS,PASSION24.HOUR.16.P028,71,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Tais-toi, ô mon enfant. Il était nécessaire que Je sois dépouillé afin de réparer pour beaucoup qui se dépouillent de toute pudeur, candeur et innocence, du bien et de ma Grâce, et se revêtent de laideur, et vivent à la manière des brutes. … Par conséquent, sois attentive à ce que Je fais, prie et répare avec Moi ! »"
