path	token	classification	context
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	place special whole-title highlight presentation with selectable title content + separate marker control.     old='''/* v101.87 — Approfondir whole-reading marker + real-device title-picker event isolation. */ .library-title-mark-wrap{display:flex;flex-direction:column;align-items:flex-
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	d,new,'title CSS')     # Marker picker wording only; persistence model remains libraryMarks.     s=replace_once(s,'<!-- v101.87 — whole-reading/title marker picker; same visual colour language as body highlights, separate persistence model, real-device event isolation. -->','<!-- v101.8
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	 \nEvidence stage: `{STAGE}`\n\n## v101.88 — exact Approfondir title-text selection\n\nReal iPhone feedback proved that v101.87 still did not implement the required feature: selecting part of an Approfondir title did not enter the normal annotation pipeline. v101.88 makes each visible A
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	A_CHECKLIST.md'; csvp=stage/'REAL_DEVICE_QA_RESULTS_TEMPLATE.csv'     text=md.read_text('utf-8')     text=text.replace('v101.87','v101.88').replace('luisa-24h-v101-87','luisa-24h-v101-88')     # Replace the old additions section from marker semantics onward.     text=re.sub(r'## v101\.8
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	rows:         if not r: continue         if r[0]=='G-86' or (len(r)>1 and r[1]=='G-86'): continue         r=[v.replace('v101.87','v101.88').replace('luisa-24h-v101-87','luisa-24h-v101-88') for v in r]         # Rewrite G-77..G-85 current scenarios.         gid=r[1] if len(r)>1 and r[1].
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	'}: continue         rel=p.relative_to(stage).as_posix(); txt=p.read_text('utf-8',errors='ignore')         for tok in ['v101.87','luisa-24h-v101-87','Surligner le titre','library-title-inline-mark']:             for m in re.finditer(re.escape(tok),txt):                 ctx=txt[max(0,m.s
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	'baseline','previous','proved','failed','failure','did not support','did not implement','superseded','historical','from v101.87','identical to v101.87','deprecated','visible wording changes','old whole-title'])                 if rel.startswith('scripts/'): historical=True              
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	proved','failed','failure','did not support','did not implement','superseded','historical','from v101.87','identical to v101.87','deprecated','visible wording changes','old whole-title'])                 if rel.startswith('scripts/'): historical=True                 if rel.startswith('a
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	historical=True                 if rel.startswith('audit/') or rel.startswith('reports/'):                     if tok=='v101.87' and ('protected' in low or 'baseline' in low or 'identical' in low): historical=True                 # Old cache name is never allowed in current QA/runtime m
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	;(stage/'luisa_24_heures.html').write_text(s2,'utf-8')     sw=(stage/'sw.js').read_text('utf-8');sw=replace_once(sw,'/* v101.87 */','/* v101.88 */','SW version');sw=replace_once(sw,"const CACHE_NAME = 'luisa-24h-v101-87';",f"const CACHE_NAME = '{CACHE}';",'SW cache');(stage/'sw.js').wri
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	:STAGE,'build_date':BUILD_DATE,'status':'PREPUBLIC_EXACT_TITLE_SELECTION_PHYSICAL_RETEST_PENDING','real_device_status':'v101.87 did not implement partial native title selection; exact v101.88 physical-iPhone retest required.'});(stage/'version.json').write_text(json.dumps(ver,ensure_asc
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	k=True)     # Clean generated evidence universe before producing current reports; do not carry stale PASS evidence from v101.87.     for d in [stage/'reports', stage/'audit']:         for p in d.iterdir():             if p.is_file(): p.unlink()             elif p.is_dir(): shutil.rmtree
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	ta/user_feedback_authority.md').write_text('# User-feedback authority — v101.88\n\nPhysical iPhone evidence proved that v101.87 did not support partial native selection of Approfondir title text. v101.88 implements exact title text as a first-class annotation target while keeping whole-
scripts/l24h_v10188_exact_title_selection_build.py	luisa-24h-v101-87	HISTORICAL_ALLOWED	REAL_DEVICE_QA_RESULTS_TEMPLATE.csv'     text=md.read_text('utf-8')     text=text.replace('v101.87','v101.88').replace('luisa-24h-v101-87','luisa-24h-v101-88')     # Replace the old additions section from marker semantics onward.     text=re.sub(r'## v101\.88 user-feedback and TH1 additions.*?\Z'
scripts/l24h_v10188_exact_title_selection_build.py	luisa-24h-v101-87	HISTORICAL_ALLOWED	nue         if r[0]=='G-86' or (len(r)>1 and r[1]=='G-86'): continue         r=[v.replace('v101.87','v101.88').replace('luisa-24h-v101-87','luisa-24h-v101-88') for v in r]         # Rewrite G-77..G-85 current scenarios.         gid=r[1] if len(r)>1 and r[1].startswith('G-') else (r[0] if r and r[
scripts/l24h_v10188_exact_title_selection_build.py	luisa-24h-v101-87	HISTORICAL_ALLOWED	ue         rel=p.relative_to(stage).as_posix(); txt=p.read_text('utf-8',errors='ignore')         for tok in ['v101.87','luisa-24h-v101-87','Surligner le titre','library-title-inline-mark']:             for m in re.finditer(re.escape(tok),txt):                 ctx=txt[max(0,m.start()-120):m.end()+
scripts/l24h_v10188_exact_title_selection_build.py	luisa-24h-v101-87	HISTORICAL_ALLOWED	name is never allowed in current QA/runtime metadata; only explicit historical script context.                 if tok=='luisa-24h-v101-87' and rel in active_current: historical=False                 # Obsolete runtime class must be gone from active app bytes.                 if tok=='library-titl
scripts/l24h_v10188_exact_title_selection_build.py	luisa-24h-v101-87	HISTORICAL_ALLOWED	_text('utf-8');sw=replace_once(sw,'/* v101.87 */','/* v101.88 */','SW version');sw=replace_once(sw,"const CACHE_NAME = 'luisa-24h-v101-87';",f"const CACHE_NAME = '{CACHE}';",'SW cache');(stage/'sw.js').write_text(sw,'utf-8')     ver=json.loads((stage/'version.json').read_text('utf-8'));ver.update
scripts/l24h_v10188_exact_title_selection_build.py	Surligner le titre	HISTORICAL_ALLOWED	ng marker picker; separate from exact title text highlighting. -->','picker comment')     s=replace_once(s,'aria-label="Surligner le titre d’une lecture"','aria-label="Marquer cette lecture"','picker aria')     s=replace_once(s,'<span class="cp-label" id="libraryMarkerPickerLabel">Surligner le tit
scripts/l24h_v10188_exact_title_selection_build.py	Surligner le titre	HISTORICAL_ALLOWED	abel="Marquer cette lecture"','picker aria')     s=replace_once(s,'<span class="cp-label" id="libraryMarkerPickerLabel">Surligner le titre en</span>','<span class="cp-label" id="libraryMarkerPickerLabel">Marquer cette lecture en</span>','picker label')     s=replace_once(s,'<button type="button" c
scripts/l24h_v10188_exact_title_selection_build.py	Surligner le titre	HISTORICAL_ALLOWED	aryMark(item.id)?'true':'false'}" aria-label="${getLibraryMark(item.id)?'Modifier ou supprimer le surlignage du titre':'Surligner le titre'}" onclick="openLibraryMarkerPicker('${escHtml(item.id)}',this)">${getLibraryMark(item.id)?'Modifier / retirer le surlignage':'Surligner le titre'}</button></d
scripts/l24h_v10188_exact_title_selection_build.py	Surligner le titre	HISTORICAL_ALLOWED	ick="openLibraryMarkerPicker('${escHtml(item.id)}',this)">${getLibraryMark(item.id)?'Modifier / retirer le surlignage':'Surligner le titre'}</button></div>'''     new='''<div class="library-title-mark-wrap"><h2 id="${escHtml(makeLibraryTitleId(item.id))}" class="reader-title library-title-target" 
scripts/l24h_v10188_exact_title_selection_build.py	Surligner le titre	HISTORICAL_ALLOWED	rsque <strong>Paragraphe</strong> est proposé, le surlignage porte sur le paragraphe entier ; dans Approfondir, <strong>Surligner le titre</strong> marque la lecture entière tout en colorant visuellement le texte du titre.</div>',                 '<div class="help-note"><strong>Trois usages distin
scripts/l24h_v10188_exact_title_selection_build.py	Surligner le titre	HISTORICAL_ALLOWED	ace.</div>')     s=s.replace('<div class="help-row"><span class="help-icon">▰</span><span class="help-row-text"><strong>Surligner le titre</strong> — Choisissez l’une des cinq couleurs. Le surlignage suit les lignes du texte du titre comme un surlignage de passage, mais le repère enregistré concer
scripts/l24h_v10188_exact_title_selection_build.py	Surligner le titre	HISTORICAL_ALLOWED	ative_to(stage).as_posix(); txt=p.read_text('utf-8',errors='ignore')         for tok in ['v101.87','luisa-24h-v101-87','Surligner le titre','library-title-inline-mark']:             for m in re.finditer(re.escape(tok),txt):                 ctx=txt[max(0,m.start()-120):m.end()+160].replace('\n',' '
scripts/l24h_v10188_exact_title_selection_build.py	Surligner le titre	HISTORICAL_ALLOWED	g phrase must be absent from current QA/README/runtime; scripts may mention migration wording.                 if tok=='Surligner le titre' and (rel in active_current or rel in {'index.html','luisa_24_heures.html'}): historical=False                 cls='HISTORICAL_ALLOWED' if historical else 'FAI
scripts/l24h_v10188_exact_title_selection_build.py	library-title-inline-mark	HISTORICAL_ALLOWED	lready exists')     if '.library-title-selectable' in s: die('scope conflict: title selectable already exists')     if 'library-title-inline-mark' not in function_block(s,'renderLibraryReaderTitleInner'): die('unexpected current title marker architecture')     # Generic store compatibility and ID en
scripts/l24h_v10188_exact_title_selection_build.py	library-title-inline-mark	HISTORICAL_ALLOWED	ex-start;gap:0.55rem;margin-bottom:0.3rem;} .library-title-mark-wrap .reader-title{display:block;margin-bottom:0;} mark.library-title-inline-mark{display:inline;padding:0 0.08em;border-radius:0.16rem;box-decoration-break:clone;-webkit-box-decoration-break:clone;cursor:pointer;touch-action:manipulati
scripts/l24h_v10188_exact_title_selection_build.py	library-title-inline-mark	HISTORICAL_ALLOWED	-decoration-break:clone;cursor:pointer;touch-action:manipulation;transition:background 0.15s,outline-color 0.15s;} mark.library-title-inline-mark:focus-visible{outline:3px solid var(--accent-light);outline-offset:3px;} .library-title-mark-btn{font-family:var(--font-ui);font-size:0.78rem;font-weight:
scripts/l24h_v10188_exact_title_selection_build.py	library-title-inline-mark	HISTORICAL_ALLOWED	t is no longer highlight UI; remove obsolete title-inline selector from event-isolation classifier.     s=s.replace(', .library-title-inline-mark, .library-title-mark-btn',', .library-title-mark-btn')     # Help reconciliation: replace obsolete three-model/title-marker wording with exact selection v
scripts/l24h_v10188_exact_title_selection_build.py	library-title-inline-mark	HISTORICAL_ALLOWED	six(); txt=p.read_text('utf-8',errors='ignore')         for tok in ['v101.87','luisa-24h-v101-87','Surligner le titre','library-title-inline-mark']:             for m in re.finditer(re.escape(tok),txt):                 ctx=txt[max(0,m.start()-120):m.end()+160].replace('\n',' ')                 low=c
scripts/l24h_v10188_exact_title_selection_build.py	library-title-inline-mark	HISTORICAL_ALLOWED	 historical=False                 # Obsolete runtime class must be gone from active app bytes.                 if tok=='library-title-inline-mark' and rel in {'index.html','luisa_24_heures.html'}: historical=False                 # Obsolete user-facing phrase must be absent from current QA/README/ru
scripts/l24h_v10188_independent_four_pass_audit.py	v101.87	HISTORICAL_ALLOWED	SNAPSHOT_VERSION = 5;' in s,'schema8/snapshot5')     ck('P1-protected',ph(s)==ph(bs),'6/6 protected hashes identical to v101.87')     ck('P1-title-helper','function makeLibraryTitleId(itemId)' in s,'stable .TITLE helper')     ck('P1-title-target',"type:'library_title'" in s,'getTargetIn
scripts/l24h_v10188_independent_four_pass_audit.py	Surligner le titre	HISTORICAL_ALLOWED	s,re.S).group(0),'title renderer no libraryMarks wrapper')     ck('P1-marker-wording','Marquer cette lecture' in s and 'Surligner le titre' not in re.search(r'function refreshLibraryMarkerTitleUi\(itemId\).*?\n\}',s,re.S).group(0),'reading marker distinct')     # syntax     scripts='\n'.join(re.fi
scripts/l24h_v10188_independent_four_pass_audit.py	Surligner le titre	HISTORICAL_ALLOWED	-cache','luisa-24h-v101-88' in qa or 'luisa-24h-v101-88' in qac,'cache current')     ck('P4-old-title-wording-current','Surligner le titre' not in qa and 'Surligner le titre' not in readme,'old whole-reading wording removed from current instructions')     ck('P4-physical-gate','exact title' in qa.
scripts/l24h_v10188_independent_four_pass_audit.py	Surligner le titre	HISTORICAL_ALLOWED	r 'luisa-24h-v101-88' in qac,'cache current')     ck('P4-old-title-wording-current','Surligner le titre' not in qa and 'Surligner le titre' not in readme,'old whole-reading wording removed from current instructions')     ck('P4-physical-gate','exact title' in qa.lower() and 'NOT_TESTED' in qac,'ph
scripts/l24h_v10188_independent_four_pass_audit.py	library-title-inline-mark	HISTORICAL_ALLOWED	URFACE_SELECTOR' in s and '.library-title-selectable' in s,'shared selectable selector')     ck('P1-marker-separation','library-title-inline-mark' not in re.search(r'function renderLibraryReaderTitleInner\(item\).*?\n\}',s,re.S).group(0),'title renderer no libraryMarks wrapper')     ck('P1-marker-wo
version.json	v101.87	HISTORICAL_ALLOWED	ld_date": "2026-08-19",   "status": "PREPUBLIC_EXACT_TITLE_SELECTION_PHYSICAL_RETEST_PENDING",   "real_device_status": "v101.87 did not implement partial native title selection; exact v101.88 physical-iPhone retest required." } 
